운전 배우다 원하다|운전교육 신청하러 오셨어요?
오다 수고|오시느라 수고하셨습니다
이름 무엇|성함이 어떻게 되세요?
생각 일치 쓰다 부탁|동의서 작성해 주세요.
이름 쓰다 부탁|서명해 주세요.
앉다 기다리다 부탁|앉아서 기다려 주세요.
사람 끝 상담 드리다|앞에 계신분이 끝나면 상담해 드리겠습니다.
이쪽 오다 부탁|이쪽으로 오세요.
화장실 오른쪽 있다|화장실은 오른쪽에 있습니다.
예약 주다|예약해 드리겠습니다
언제 가능하다 원하다|언제가 좋으세요?
예약 끝|예약이 되었습니다.
잘 지내다|잘 지내셨어요?
여기 앉다|여기 앉으세요.
불편 무엇?|어디가 불편하세요?
저 담당 운전 가르치다|제가 운전교육 담당입니다.
수화 또는 구화 가능하세요?|수화 또는 구화가 가능하세요?
신청 서류 주세요|응시원서 좀 보여주세요.
시험 접수 예약|시험 접수 예약부터 하세요.
월요일 괜찮아요?|월요일 어떠세요?
화요일 괜찮아요?|화요일 어떠세요?
수요일 괜찮아요?|수요일 어떠세요?
목요일 괜찮아요?|목요일 어떠세요?
금요일 괜찮아요?|금요일 어떠세요?
토요일 괜찮아요?|토요일 어떠세요?
일요일 괜찮아요?|일요일 어떠세요?
예약 오전 가능하세요?|오전로 예약 할까요?
예약 오후 가능하세요?|오후로 예약 할까요?
오늘 운전 교육 시작|오늘은 운전(기초) 교육 부터 합니다.
교육 하루 두시간 제한|교육은 하루에 두시간씩 합니다.
월요일 부터 금요일 까지 끝|월요일부터 금요일까지 합니다.
긴장 말다|긴장하지 마세요.
교육 시작|교육 시작하겠습니다.
자동차 외부 모양 확인하세요|차량외부를 확인하세요.
운전 의자 부탁|운전석에 앉으세요
앉다 몸 적당하다 조절하다|좌석을 몸에 맞게 조절하세요.
안전 띠 착용|안전 띠를 착용하세요.
오른쪽 발 브레이크 두다|오른쪽 발은 브레이크 위에 올려두세요.
변속기 P 확인|변속기가 P 에 있는지 확인하세요
열쇠 돌리는동작|엔진시동을 거세요.
계기판 바늘 확인|계기판의 바늘을 확인하세요
항상 브레이크 두다 변속기 사용|항상 브레이크를 밟은 후 변속기를 사용하세요.
P 바꾸다 D|변속기를 P 에서 D 로 바꾸세요.
전조등 켜다|전조등을 켜세요.
상향등 바꾸다|상향등으로 바꾸세요.
하향등 끄세요|하향등으로 바꾼 후 끄세요
우측 방향지시등 켜다|우측 방향지시등을 켜세요.
좌측 방향지시등 켜다|좌측 방향지시등을 켜세요.
방향지시등 끄다|방향지시등을 끄세요.
와이퍼 켜다|와이퍼를 작동하세요
출발 지시 확인 가다|출발지시를 확인 후 출발하세요.
출발 전 주차브레이크 풀다 꼭|출발전에는 꼭 주차브레이크를 풀어주세요.
운전 둥 적색 경광등|주행도중 적색 경광등이 들어오면
급정지 비상등|급정지 후 비상등 스위치를 켜세요
경광등 멈추다 비상등 끄다 다시 출발|경광등이 멈추면 비상등을 끄고 출발하세요.
끝 지시 확인 정지|종료지시가 보이면 차를 멈추세요.
출발 전 외관 확인|출발 전 차량외관을 확인하세요.
확인 없다 점수 10 빼다|미 확인시 10점 감점 됩니다.
의자 몸 적당 조절|운전석은 체형에 맞게 조절하세요.
거울 조절|후사경을 조절하세요.
